Song,Artist,Scene Description
Slow Show,The National,Brook is interviewed at an event by a reporter.
Come Undone,Jackson Waters,"Montage, Peyton is upset."
Green Gloves,The National,Peyton arrives back to Tree Hill.
Fake Empire,The National,Peyton is at the river court. Haley talks to Jamie about Nathan
The Freshmen,The Verve Pipe,"Near the end, Peyton and Brooke reunite; Jamie gives Nathan a picture, and they hug."
Center of Attention,Jackson Waters,Add scene description
What You Gone Do,Coe 24K,"Peyton meeting with her boss at the record label, ""What You Gone Do"" was playing in the background"
Ripe,Ben Lee,"Opening, Brooke accidentally startles Lindsey."
Forgive Me,Group 1 Crew,"(Flashback) Lucas invites Peyton to his book signing. (Present) During tryouts, the potential new Tree Hill Ravens do drills for Lucas and Skillz."
Neverlost,Smashing Pumpkins,Jamie shows Brooke his soapbox car. Lucas and Skillz continue Raven tryouts.
Gotta Be Somebody's Blues,Jimmy Eat World,Lucas and Peyton flashback after Brooke asks Peyton what happened between them.
Thank You,The Little Heroes,"Brooke rushes to pick up Jamie, only to find out that Haley dropped him off at the apartment."
Lawman,Belasco,Brooke and Peyton visit with Nathan and Haley.
Bringa (feat. Apl.de.Ap & Nfa),Channel Two,"Brooke, Peyton and Haley have girls night at TRIC."
DJ Make It Boom Loud (ft. Timna),Richard Wolf,"At Tric, Brooke, Peyton and Haley on the dancefloor"
Will Scarlet,Magic Bullets,Lindsey tries to talk to Peyton at TRIC.
Think It Must Be,Geoff Martyn,"On the phone, Brook argues with Victoria, then throws her phone in the water."
Will You Be There,Richard Harris,Lucas surprises Peyton with her first step in starting her new label.
Back When You Were Good,The Hours,Ending montage.
Follow Through,Hotel Lights,At the beginning.
One Night On Earth,The Veils,Nathan and the Nanny talk about his physical therapy.
Butterflies,Belasco,Haley and Lucas talk at basketball practice. Mouth confronts Alice about his audition tape.
Advice for Young Mothers to Be,The Veils,Skills and Mouth are having lunch at the River Court.
All We Are,Matt Nathanson,Nathan leaves the prison; Lindsey gives Peyton a bamboo; Luke and Skills talk in gym; The nanny and Nathan talk.
Dry Ice & Strobe Lights,Pilot to Gunner,Peyton and Haley check out the local band
You Fill My Heart,Jason Walker,Haley returns from work to find Nathan and Jamie waiting at the dinner table.
Bloody Nose,Earlimart,Nathan is playing basketball with his son Jamie as  Haley watches
Time Won't Let Me Go,The Bravery,"Opening, Peyton talks to Brooke about the Victoria issue."
Kindly Unspoken,Kate Voegele,Haley overhears Mia playing some of her song.
Silver Lining,Rilo Kiley,Haley makes fun of Nathan's mullet; Skills talks with Mouth about his night with Alice after he catches her leaving the apartment.
Just to Be There,Chase Emery,"In the morning, Lucas and Lindsey kiss; Peyton knocks on his door."
Mahabharata,Radio America,The first band Peyton signed records in the studio; the lead singer snaps at Peyton.
One Kiss Don't Make a Summer,Lucky Soul,Brooke works at the new shop; Victoria comes in ready to help. Victoria tells Millicent to order all the new dresses from New York.
Central Park,Goodmornings,Brook thanks everybody at the store for helping her get it ready for the opening.
Something's Got Me Started,Swingfly,"Nathan, Lucas and Skills watch Q practice at the school court."
"""The Take Over, the Breaks Over""",Fall Out Boy,Brooke's store opening
Emotional Champ,New Buffalo,Peyton tells Lucas that it's not fair when he leaves Brooke's shop.
Privilege,The Temporary Thing,"Opening, Lindsey talks to Lucas about the picture she found."
Brahms Lullaby,Johannes Brahms,Haley sings to baby Jamie
Charlotte,Air Traffic,During the flash back of the game Assistant Coach Lucas is guiding the team near the beginning of the episode.
Weapon of Choice,Black Rebel Motorcycle Club,Basketball game - the Cobras are up for the State Championship.
Heartbeats,José González,Lucas receives a song from Peyton on his iPhone.
You Gotta Know Me,Sofia J,Lucas waits for Peyton at the restaurant.
Loving You,Joey Ryan,Peyton receives a call at dinner/Lucas waits in the hotel room.
Where I Stood,Missy Higgins,Peyton and Lucas talk about his proposal and their life together.
When You've Had Enough,Wild Whirled #51,Lucas and Lindsey talk about his book at a swanky bar in New York City.
October,Leopold,Lucas and Brooke have drinks at a bar and take a carriage ride in the park.
Cocaine Skin,Broken Social Scene,"End of episode, Nathan and Haley talk; Lucas and Brooke talk."
Hughes,The New Amsterdams,Peyton visits her old house.
No Good,Kate Voegele,"At the recording studio, Mia sings for Victoria."
Happy Alone,Earlimart,Peyton stresses about her record label. Lucas comes to see her to talk about Lindsay. Carrie and Jamie join Nathan in the pool.
Side of the Road,Matt Shwachman,Brooke and Victoria have breakfast where she tells her to lay off Peyton.
Are You Gonna Be My Girl,Jet,Jaime and Skills play Guitar Hero.
Looking For Love,Michelle Featherstone,Lucas and Peyton argue about Lindsey.
The Subtle Labyrinth,Mike Wolpe,Nathan and Haley have Lucas and Lindsey over for dinner.
Vision,Oliver Future,"Brooke, Peyton and Millicent hang out at TRIC."
Get Your Hands Up,Ku,"Peyton, Brooke and Millicent at Tric having drinks."
Better Than Love,Griffin House,Peyton and Lucas hash out their strained relationship. Brooke talks to Victoria.
No One's Gonna Love You,Band of Horses,End montage; Mia on the bus.
Tick Tick Boom,The Hives,Opening.
Sun and Shadow,Wideawake,"At TRIC, Quentin runs into Nathan and Haley; Brooke flirts with the bartender."
Would You Still Be Mine?,Alex Winston,At Tric; Carrie flirts with Nathan. Peyton and Lucas talk about rent money.
Drama Queen,Switches,Fourth song played at Tric. Brooke introduces Millie to Mouth.
Hey Mrs. (Glamour Puss Mix),I Monster,"At the bar, Carrie drinks with Nathan; Mouth gets to know Millicent better."
Read My Lips,Central Court Party,Brooke confronts her mom.
Just Another Girl,Red Panda,"At Tric, Milli and Mouth play ""ninja bear hunter""."
Jean Paul Belmondo,The Temporary Thing,Owen and Brooke talk. Carrie and Nathan talk. Lucas and Peyton argue about rent.
No Good,Kate Voegele,Mia performs at TRIC for the first time.
Where I Sleep,"Echo Helstrom, Alessandra Dinu, Dave Basaraba, Mike McDaniel, Ross Seligman, Tahlia Rachel Harrison, Will Amend",Brooke sees her mom dance with a guy; Peyton talks to Brooke about getting a new office.
Chinatown,The Velocet,Millie and Mouth are together when Mouth gets a warning text message.
Never Meant For You (Robotekks Mix),David Kater,Carrie dances with Jason to make Nathan jealous.
Almost,Round 2,Brook and Mouth talk.
This Layer,The Honorary Title,"Rock band, The Honorary Title performs at TRIC."
Stay Away,The Honorary Title,Lindsey tells Lucas she's leaving TRIC.
Far More,The Honorary Title,End montage.
Give Me Heart,Susie Suh,"Opening, Peyton and Lucas kiss. Lucas asks Lindsey to marry him."
Pitter-Pat,Erin McCarley,Nanny Carrie kisses Nathan and Peyton leaves a present for Molly
Heatseeker,Two Hours Traffic,"Brooke takes shots at Tric, flirting with the bartender. Peyton calls her on the phone."
Bright Red Star,Stereophonics,Peyton cries over Lucas; Brooke tells her to let go. They burn his book together
Struck Dumb,Lucky Soul,Owen comes to Brooke's store and asks her why she works with her mother.
I Won't Disagree,Kate Voegele,Mia records in the studio while Haley confronts Peyton about Lucas.
You Got Yr. Cherry Bomb,Spoon,"Brooke tells Jaime her problems about Owen, Jamie eats ice cream"
Come Home,findlay brown,Carrie has dinner ready for the Scott boys.
I Feel It All,Feist,"Haley drops off Jaime with Brooke and Lindsey tells Brooke and Haley, she's engaged."
Ashes and Wine,A Fine Frenzy,Peyton's voice over at the end
I Won't Let You Go,Sarah Thiele,Opening montage.
It's Only Life (Brian Malouf Mix),Kate Voegele,"Opening, Mia, Haley and Peyton film a music video."
Pony (It's OK),Erin McCarley,Quentin prepares for the basketball game with Jamie.
Dirty South Hustla,Carolina Slim,Lucas speaks to the team and Skillz hands out new jerseys.
Bring It On,Lenny Kravitz,The team and coaches walk the hallway on their way to the game.
Fakey Fake,Earlimart,The girls get locked in the school library.
so long,Brandy Johnson,Lindsey tries to break the window of the library unsuccessfully. Peyton and Brook talk about Victoria.
Home,Holly Conlan,Mia tells everyone that they tear each other down too much and that they should discuss what they love about each other more.
Never Even Told Me Her Name (Live),Air Traffic,Tim arrives at the library and the door closes again.
The New Kid Revival,Her Space Holiday,The girls are eating pizza in the library.
Wish You Were,Kate Voegele,Mia plays a song at the library.
There's a Reason,A.A. Bondy,"At the library, Peyton confronts Lindsey to apologize for what she said earlier."
Broken,Lifehouse,"End, Lucas and Nathan talk about Dan's Jersey; the girls escape from the library."
I Like What You Say,Nada Surf,"Opening, Lucas kisses Peyton in the school hallway."
Only Fooling Myself (Brian Malouf Mix),Kate Voegele,Peyton's confrontation with her former boss. Peyton and Mia in the studio.
Here Goes Something,Nada Surf,Brook dares the bar tender to take her up on her offer to show him her c/b operation in New York.
Tell Me How,Sara Lov,Nanny Carrie tells Jaime she's leaving
Right Here With You,Frozen Flames,Owen and Brooke find Rachel on the ground drugged.4
See These Bones,Nada Surf,Lucas and Nathan in the car talk about Dan. Dan's parole hearing
Cataracts,Andrew Bird,Dan talks in his parole hearing about Karen and then Lucas speaks about Keith.
The Film Did Not Go 'Round,Nada Surf,Brooke talks to Rachel. Nathan finds Quentin at the high school gym.
Best Not to Think About It,Athlete,Ending montage.
Something In My Eye,Turin Brakes,Opening.
Here It Goes Again,OK Go,"Owen, Brooke, Lucas and Lindsey run into a familiar face at Macy's."
My Own,The Perishers,Dan Scott buys basketball for his grandson. Millicent goes by Mouth's house to talk about Rachel.
Ballroom Blitz,Sweet,"Brooke, Owen, Peyton and Chase drive to the party; Chase tells Owen he dated Brooke."
Waking Dream,Natalie Walker,Mouth and Rachel talk.
Superstar (feat. Matthew Santos),Lupe Fiasco,Lucas and Lindsey's bachelor/bachelorette party. Lucas gives Haley advice. Chase kisses Peyton.
In the building,Sermad,Skillz tells Haley she needs to make the situation with Nathan better for Jamie.
Open Late,Ryan Lindsey,Haley tells Nathan she's done trying to change him.
Never Find Again,Jason Reeves,Skillz talks to Jamie about Nathan and Haley.
She Holds a Key,Gavin DeGraw,Jamie asks Nathan when he's coming home. Brooke and Peyton find out Rachel stole from Brooke.
I Taught Myself How To Grow Old,Ryan Adams,End montage; Haley tells Lucas he can't marry Lindsey.
My Hometown,Bruce Springsteen,"Beginning; Lucas, Hayley and Jamie in the car."
Shine,Anna Nalick,Karen surprises Brooke at Clothes Over Bro's.
"Pachelbel's Canon In D Major (Pano) Cannon In D, Kanon In",Pachelbel's Canon In D Major,Before Lindsey walks down the aisle
Bridal Chorus,A-P-M Productions,Lindsey walks down the aisle.
Never Tear Us Apart,INXS,[TV episode] Lindsey tells Lucas she can't go through with marrying him.
Ride,Cary Brothers,[DVD version] Lindsey tells Lucas she can't go through with marrying him.
"Jane, I Still Feel The Same",Matthew Ryan,Lucas's flashback with Lindsey where they have a romantic moment but talk about his book.
Winter,Holly Conlan,"Nathan tells Lucas that Lindsey's gone, Haley realizes Jamie's missing, and Brooke tells Peyton she wants a baby"
Apologies,Grace Potter & The Nocturnals,End montage.
Push Your Head Towards the Air,Editors,Beginning montage.
Little Bird,The Weepies,"Peyton talks about how her mother used to sing to her, Lucas talks to Andy, Haley and Nathan talk to their therapist, and Brooke talks to the adoption counselor."
Good Kind of Crazy,"Brighton, MA",Nathan telling the therapist about his most vulnerable moment and when he fell in love with Haley
Drink Too Much,Tim Williams,"Haley and Nathan talk about their marriage in a counseling session.
Peyton talks to Max, the record store owner."
It Couldn't Be Me,Johnathan Rice,Brooke's past relationships are brought up in the interview. Lucas talks to Andy.
Love Under Key,La Rocca,Haley and Nathan reunite back home. Peyton talks to Max about Lucas.
Let Me Breathe,The Hours,Brooke's past with Lucas and high school experiences are discussed. Lucas goes to see Lindsey.
Home,Foo Fighters,"End montage; Brooke picks up Jamie, Peyton is in her car, Nathan and Haley talk."
Ride,Cary Brothers,"Opening, each character wakes up to reveal the name of the first person they think of."
Break You,Hawaii,"Mouth opens a letter and is surprised. Brook wants to give Millicent a promotion, until she finds out important news."
Spitfire (feat. Lazarus),Firstcom Music,Haley goes to see Peyton about recording a new album.
In Loving Memory,Jamestown Story,Mouth tells Millicent that he got an out-of-state job offer.
